cycle,mode,tick_long_tripsmode
229,trip_taxi,nil
230,trip_tgv,nil
230,trip_ter,nil
230,trip_taxi,nil
231,trip_tgv,nil
231,trip_ter,nil
231,trip_taxi,nil
232,trip_tgv,nil
232,trip_ter,nil
232,trip_taxi,nil
233,trip_tgv,nil
233,trip_ter,nil
233,trip_taxi,nil
234,trip_tgv,nil
234,trip_ter,nil
234,trip_taxi,nil
235,trip_tgv,nil
235,trip_ter,nil
235,trip_taxi,nil
236,trip_tgv,nil
236,trip_ter,nil
236,trip_taxi,nil
237,trip_tgv,nil
237,trip_ter,nil
237,trip_taxi,nil
238,trip_tgv,nil
238,trip_ter,nil
238,trip_taxi,nil
239,trip_tgv,nil
239,trip_ter,nil
239,trip_taxi,nil
240,trip_tgv,nil
240,trip_ter,nil
240,trip_taxi,nil
241,trip_tgv,nil
241,trip_ter,nil
241,trip_taxi,nil
242,trip_tgv,nil
242,trip_ter,nil
242,trip_taxi,nil
243,trip_tgv,nil
243,trip_ter,nil
243,trip_taxi,nil
244,trip_tgv,nil
244,trip_ter,nil
244,trip_taxi,nil
245,trip_tgv,nil
245,trip_ter,nil
245,trip_taxi,nil
246,trip_tgv,nil
246,trip_ter,nil
246,trip_taxi,nil
247,trip_tgv,nil
247,trip_ter,nil
247,trip_taxi,nil
248,trip_tgv,nil
248,trip_ter,nil
248,trip_taxi,nil
249,trip_tgv,nil
249,trip_ter,nil
249,trip_taxi,nil
250,trip_tgv,nil
250,trip_ter,nil
250,trip_taxi,nil
251,trip_tgv,nil
251,trip_ter,nil
251,trip_taxi,nil
252,trip_tgv,nil
252,trip_ter,nil
252,trip_taxi,nil
253,trip_tgv,nil
253,trip_ter,nil
253,trip_taxi,nil
254,trip_tgv,nil
254,trip_ter,nil
254,trip_taxi,nil
255,trip_tgv,nil
255,trip_ter,nil
255,trip_taxi,nil
256,trip_tgv,nil
256,trip_ter,nil
256,trip_taxi,nil
257,trip_tgv,nil
257,trip_ter,nil
257,trip_taxi,nil
258,trip_tgv,nil
258,trip_ter,nil
258,trip_taxi,nil
259,trip_tgv,nil
259,trip_ter,nil
259,trip_taxi,nil
260,trip_tgv,nil
260,trip_ter,nil
260,trip_taxi,nil
261,trip_tgv,nil
261,trip_ter,nil
261,trip_taxi,nil
262,trip_tgv,nil
262,trip_ter,nil
262,trip_taxi,nil
263,trip_tgv,nil
263,trip_ter,nil
263,trip_taxi,nil
264,trip_tgv,nil
264,trip_ter,nil
264,trip_taxi,nil
265,trip_tgv,nil
265,trip_ter,nil
265,trip_taxi,nil
266,trip_tgv,nil
266,trip_ter,nil
266,trip_taxi,nil
267,trip_tgv,nil
267,trip_ter,nil
267,trip_taxi,nil
268,trip_tgv,nil
268,trip_ter,nil
268,trip_taxi,nil
269,trip_tgv,nil
269,trip_ter,nil
269,trip_taxi,nil
270,trip_tgv,nil
270,trip_ter,nil
270,trip_taxi,nil
271,trip_tgv,nil
271,trip_ter,nil
271,trip_taxi,nil
272,trip_tgv,nil
272,trip_ter,nil
272,trip_taxi,nil
273,trip_tgv,nil
273,trip_ter,nil
273,trip_taxi,nil
274,trip_tgv,nil
274,trip_ter,nil
274,trip_taxi,nil
275,trip_tgv,nil
275,trip_ter,nil
275,trip_taxi,nil
276,trip_tgv,nil
276,trip_ter,nil
276,trip_taxi,nil
277,trip_tgv,nil
277,trip_ter,nil
277,trip_taxi,nil
278,trip_tgv,nil
278,trip_ter,nil
278,trip_taxi,nil
279,trip_tgv,nil
