cycle,e,tick_emissions_Te
705,gCO2e emissions,nil
706,gCO2e emissions,nil
707,gCO2e emissions,nil
708,gCO2e emissions,nil
709,gCO2e emissions,nil
710,gCO2e emissions,nil
711,gCO2e emissions,nil
712,gCO2e emissions,nil
713,gCO2e emissions,nil
714,gCO2e emissions,nil
715,gCO2e emissions,nil
716,gCO2e emissions,nil
717,gCO2e emissions,nil
718,gCO2e emissions,nil
719,gCO2e emissions,nil
720,gCO2e emissions,nil
721,gCO2e emissions,nil
722,gCO2e emissions,nil
723,gCO2e emissions,nil
724,gCO2e emissions,nil
725,gCO2e emissions,nil
726,gCO2e emissions,nil
727,gCO2e emissions,nil
728,gCO2e emissions,nil
729,gCO2e emissions,nil
730,gCO2e emissions,nil
731,gCO2e emissions,nil
732,gCO2e emissions,nil
733,gCO2e emissions,nil
734,gCO2e emissions,nil
735,gCO2e emissions,nil
736,gCO2e emissions,nil
737,gCO2e emissions,nil
738,gCO2e emissions,nil
739,gCO2e emissions,nil
740,gCO2e emissions,nil
741,gCO2e emissions,nil
742,gCO2e emissions,nil
743,gCO2e emissions,nil
744,gCO2e emissions,nil
745,gCO2e emissions,nil
746,gCO2e emissions,nil
747,gCO2e emissions,nil
748,gCO2e emissions,nil
749,gCO2e emissions,nil
750,gCO2e emissions,nil
751,gCO2e emissions,nil
752,gCO2e emissions,nil
753,gCO2e emissions,nil
754,gCO2e emissions,nil
755,gCO2e emissions,nil
756,gCO2e emissions,nil
757,gCO2e emissions,nil
758,gCO2e emissions,nil
759,gCO2e emissions,nil
760,gCO2e emissions,nil
761,gCO2e emissions,nil
762,gCO2e emissions,nil
763,gCO2e emissions,nil
764,gCO2e emissions,nil
765,gCO2e emissions,nil
766,gCO2e emissions,nil
767,gCO2e emissions,nil
768,gCO2e emissions,nil
769,gCO2e emissions,nil
770,gCO2e emissions,nil
771,gCO2e emissions,nil
772,gCO2e emissions,nil
773,gCO2e emissions,nil
774,gCO2e emissions,nil
775,gCO2e emissions,nil
776,gCO2e emissions,nil
777,gCO2e emissions,nil
778,gCO2e emissions,nil
779,gCO2e emissions,nil
780,gCO2e emissions,nil
781,gCO2e emissions,nil
782,gCO2e emissions,nil
783,gCO2e emissions,nil
784,gCO2e emissions,nil
785,gCO2e emissions,nil
786,gCO2e emissions,nil
787,gCO2e emissions,nil
788,gCO2e emissions,nil
789,gCO2e emissions,nil
790,gCO2e emissions,nil
791,gCO2e emissions,nil
792,gCO2e emissions,nil
793,gCO2e emissions,nil
794,gCO2e emissions,nil
795,gCO2e emissions,nil
796,gCO2e emissions,nil
797,gCO2e emissions,nil
798,gCO2e emissions,nil
799,gCO2e emissions,nil
800,gCO2e emissions,nil
801,gCO2e emissions,nil
802,gCO2e emissions,nil
803,gCO2e emissions,nil
804,gCO2e emissions,nil
805,gCO2e emissions,nil
806,gCO2e emissions,nil
807,gCO2e emissions,nil
808,gCO2e emissions,nil
809,gCO2e emissions,nil
810,gCO2e emissions,nil
811,gCO2e emissions,nil
812,gCO2e emissions,nil
813,gCO2e emissions,nil
814,gCO2e emissions,nil
815,gCO2e emissions,nil
816,gCO2e emissions,nil
817,gCO2e emissions,nil
818,gCO2e emissions,nil
819,gCO2e emissions,nil
820,gCO2e emissions,nil
821,gCO2e emissions,nil
822,gCO2e emissions,nil
823,gCO2e emissions,nil
824,gCO2e emissions,nil
825,gCO2e emissions,nil
826,gCO2e emissions,nil
827,gCO2e emissions,nil
828,gCO2e emissions,nil
829,gCO2e emissions,nil
830,gCO2e emissions,nil
831,gCO2e emissions,nil
832,gCO2e emissions,nil
833,gCO2e emissions,nil
834,gCO2e emissions,nil
835,gCO2e emissions,nil
836,gCO2e emissions,nil
837,gCO2e emissions,nil
838,gCO2e emissions,nil
839,gCO2e emissions,nil
840,gCO2e emissions,nil
841,gCO2e emissions,nil
842,gCO2e emissions,nil
843,gCO2e emissions,nil
844,gCO2e emissions,nil
845,gCO2e emissions,nil
846,gCO2e emissions,nil
847,gCO2e emissions,nil
848,gCO2e emissions,nil
849,gCO2e emissions,nil
850,gCO2e emissions,nil
851,gCO2e emissions,nil
852,gCO2e emissions,nil
853,gCO2e emissions,nil
854,gCO2e emissions,nil
855,gCO2e emissions,nil
856,gCO2e emissions,nil
