cycle,c,tick_pop_consumption_Tc
305,taxi,nil
306,minibus,nil
306,tgv,nil
306,ter,nil
306,truck,nil
306,taxi,nil
307,minibus,nil
307,tgv,nil
307,ter,nil
307,truck,nil
307,taxi,nil
308,minibus,nil
308,tgv,nil
308,ter,nil
308,truck,nil
308,taxi,nil
309,minibus,nil
309,tgv,nil
309,ter,nil
309,truck,nil
309,taxi,nil
310,minibus,nil
310,tgv,nil
310,ter,nil
310,truck,nil
310,taxi,nil
311,minibus,nil
311,tgv,nil
311,ter,nil
311,truck,nil
311,taxi,nil
312,minibus,nil
312,tgv,nil
312,ter,nil
312,truck,nil
312,taxi,nil
313,minibus,nil
313,tgv,nil
313,ter,nil
313,truck,nil
313,taxi,nil
314,minibus,nil
314,tgv,nil
314,ter,nil
314,truck,nil
314,taxi,nil
315,minibus,nil
315,tgv,nil
315,ter,nil
315,truck,nil
315,taxi,nil
316,minibus,nil
316,tgv,nil
316,ter,nil
316,truck,nil
316,taxi,nil
317,minibus,nil
317,tgv,nil
317,ter,nil
317,truck,nil
317,taxi,nil
318,minibus,nil
318,tgv,nil
318,ter,nil
318,truck,nil
318,taxi,nil
319,minibus,nil
319,tgv,nil
319,ter,nil
319,truck,nil
319,taxi,nil
320,minibus,nil
320,tgv,nil
320,ter,nil
320,truck,nil
320,taxi,nil
321,minibus,nil
321,tgv,nil
321,ter,nil
321,truck,nil
321,taxi,nil
322,minibus,nil
322,tgv,nil
322,ter,nil
322,truck,nil
322,taxi,nil
323,minibus,nil
323,tgv,nil
323,ter,nil
