cycle,mode,tick_short_tripsmode
293,trip_walking,nil
294,trip_minibus,nil
294,trip_bike,nil
294,trip_walking,nil
295,trip_minibus,nil
295,trip_bike,nil
295,trip_walking,nil
296,trip_minibus,nil
296,trip_bike,nil
296,trip_walking,nil
297,trip_minibus,nil
297,trip_bike,nil
297,trip_walking,nil
298,trip_minibus,nil
298,trip_bike,nil
298,trip_walking,nil
299,trip_minibus,nil
299,trip_bike,nil
299,trip_walking,nil
300,trip_minibus,nil
300,trip_bike,nil
300,trip_walking,nil
301,trip_minibus,nil
301,trip_bike,nil
301,trip_walking,nil
302,trip_minibus,nil
302,trip_bike,nil
302,trip_walking,nil
303,trip_minibus,nil
303,trip_bike,nil
303,trip_walking,nil
304,trip_minibus,nil
304,trip_bike,nil
304,trip_walking,nil
305,trip_minibus,nil
305,trip_bike,nil
305,trip_walking,nil
306,trip_minibus,nil
306,trip_bike,nil
306,trip_walking,nil
307,trip_minibus,nil
307,trip_bike,nil
307,trip_walking,nil
308,trip_minibus,nil
308,trip_bike,nil
308,trip_walking,nil
309,trip_minibus,nil
309,trip_bike,nil
309,trip_walking,nil
310,trip_minibus,nil
310,trip_bike,nil
310,trip_walking,nil
311,trip_minibus,nil
311,trip_bike,nil
311,trip_walking,nil
312,trip_minibus,nil
312,trip_bike,nil
312,trip_walking,nil
313,trip_minibus,nil
313,trip_bike,nil
313,trip_walking,nil
314,trip_minibus,nil
314,trip_bike,nil
314,trip_walking,nil
315,trip_minibus,nil
315,trip_bike,nil
315,trip_walking,nil
316,trip_minibus,nil
316,trip_bike,nil
316,trip_walking,nil
317,trip_minibus,nil
317,trip_bike,nil
317,trip_walking,nil
318,trip_minibus,nil
318,trip_bike,nil
318,trip_walking,nil
319,trip_minibus,nil
319,trip_bike,nil
319,trip_walking,nil
320,trip_minibus,nil
320,trip_bike,nil
320,trip_walking,nil
321,trip_minibus,nil
321,trip_bike,nil
321,trip_walking,nil
322,trip_minibus,nil
322,trip_bike,nil
322,trip_walking,nil
323,trip_minibus,nil
323,trip_bike,nil
323,trip_walking,nil
324,trip_minibus,nil
324,trip_bike,nil
324,trip_walking,nil
325,trip_minibus,nil
325,trip_bike,nil
325,trip_walking,nil
326,trip_minibus,nil
326,trip_bike,nil
326,trip_walking,nil
327,trip_minibus,nil
327,trip_bike,nil
327,trip_walking,nil
328,trip_minibus,nil
328,trip_bike,nil
328,trip_walking,nil
329,trip_minibus,nil
329,trip_bike,nil
329,trip_walking,nil
330,trip_minibus,nil
330,trip_bike,nil
330,trip_walking,nil
331,trip_minibus,nil
331,trip_bike,nil
331,trip_walking,nil
332,trip_minibus,nil
332,trip_bike,nil
332,trip_walking,nil
333,trip_minibus,nil
333,trip_bike,nil
333,trip_walking,nil
334,trip_minibus,nil
334,trip_bike,nil
334,trip_walking,nil
335,trip_minibus,nil
335,trip_bike,nil
335,trip_walking,nil
336,trip_minibus,nil
336,trip_bike,nil
336,trip_walking,nil
337,trip_minibus,nil
337,trip_bike,nil
337,trip_walking,nil
338,trip_minibus,nil
338,trip_bike,nil
338,trip_walking,nil
339,trip_minibus,nil
339,trip_bike,nil
339,trip_walking,nil
340,trip_minibus,nil
340,trip_bike,nil
340,trip_walking,nil
341,trip_minibus,nil
341,trip_bike,nil
341,trip_walking,nil
342,trip_minibus,nil
342,trip_bike,nil
342,trip_walking,nil
343,trip_minibus,nil
343,trip_bike,nil
343,trip_walking,nil
344,trip_minibus,nil
344,trip_bike,nil
344,trip_walking,nil
345,trip_minibus,nil
345,trip_bike,nil
345,trip_walking,nil
346,trip_minibus,nil
346,trip_bike,nil
346,trip_walking,nil
347,trip_minibus,nil
347,trip_bike,nil
347,trip_walking,nil
348,trip_minibus,nil
348,trip_bike,nil
348,trip_walking,nil
349,trip_minibus,nil
349,trip_bike,nil
349,trip_walking,nil
350,trip_minibus,nil
350,trip_bike,nil
350,trip_walking,nil
351,trip_minibus,nil
351,trip_bike,nil
351,trip_walking,nil
352,trip_minibus,nil
352,trip_bike,nil
352,trip_walking,nil
353,trip_minibus,nil
353,trip_bike,nil
353,trip_walking,nil
354,trip_minibus,nil
354,trip_bike,nil
354,trip_walking,nil
355,trip_minibus,nil
355,trip_bike,nil
355,trip_walking,nil
356,trip_minibus,nil
356,trip_bike,nil
356,trip_walking,nil
357,trip_minibus,nil
357,trip_bike,nil
357,trip_walking,nil
358,trip_minibus,nil
358,trip_bike,nil
358,trip_walking,nil
359,trip_minibus,nil
359,trip_bike,nil
359,trip_walking,nil
360,trip_minibus,nil
360,trip_bike,nil
360,trip_walking,nil
361,trip_minibus,nil
361,trip_bike,nil
361,trip_walking,nil
362,trip_minibus,nil
362,trip_bike,nil
362,trip_walking,nil
363,trip_minibus,nil
363,trip_bike,nil
363,trip_walking,nil
364,trip_minibus,nil
364,trip_bike,nil
364,trip_walking,nil
365,trip_minibus,nil
365,trip_bike,nil
365,trip_walking,nil
366,trip_minibus,nil
366,trip_bike,nil
366,trip_walking,nil
367,trip_minibus,nil
367,trip_bike,nil
367,trip_walking,nil
368,trip_minibus,nil
368,trip_bike,nil
368,trip_walking,nil
369,trip_minibus,nil
369,trip_bike,nil
369,trip_walking,nil
370,trip_minibus,nil
370,trip_bike,nil
370,trip_walking,nil
371,trip_minibus,nil
371,trip_bike,nil
371,trip_walking,nil
372,trip_minibus,nil
372,trip_bike,nil
372,trip_walking,nil
373,trip_minibus,nil
373,trip_bike,nil
373,trip_walking,nil
374,trip_minibus,nil
374,trip_bike,nil
374,trip_walking,nil
375,trip_minibus,nil
375,trip_bike,nil
375,trip_walking,nil
376,trip_minibus,nil
376,trip_bike,nil
376,trip_walking,nil
377,trip_minibus,nil
377,trip_bike,nil
377,trip_walking,nil
378,trip_minibus,nil
378,trip_bike,nil
378,trip_walking,nil
379,trip_minibus,nil
379,trip_bike,nil
379,trip_walking,nil
380,trip_minibus,nil
380,trip_bike,nil
380,trip_walking,nil
381,trip_minibus,nil
381,trip_bike,nil
381,trip_walking,nil
382,trip_minibus,nil
382,trip_bike,nil
382,trip_walking,nil
383,trip_minibus,nil
383,trip_bike,nil
383,trip_walking,nil
384,trip_minibus,nil
384,trip_bike,nil
384,trip_walking,nil
385,trip_minibus,nil
385,trip_bike,nil
385,trip_walking,nil
386,trip_minibus,nil
386,trip_bike,nil
386,trip_walking,nil
387,trip_minibus,nil
387,trip_bike,nil
387,trip_walking,nil
388,trip_minibus,nil
388,trip_bike,nil
388,trip_walking,nil
389,trip_minibus,nil
389,trip_bike,nil
389,trip_walking,nil
390,trip_minibus,nil
390,trip_bike,nil
390,trip_walking,nil
391,trip_minibus,nil
391,trip_bike,nil
391,trip_walking,nil
392,trip_minibus,nil
392,trip_bike,nil
392,trip_walking,nil
393,trip_minibus,nil
393,trip_bike,nil
393,trip_walking,nil
394,trip_minibus,nil
394,trip_bike,nil
394,trip_walking,nil
395,trip_minibus,nil
395,trip_bike,nil
395,trip_walking,nil
396,trip_minibus,nil
396,trip_bike,nil
396,trip_walking,nil
397,trip_minibus,nil
397,trip_bike,nil
397,trip_walking,nil
398,trip_minibus,nil
398,trip_bike,nil
398,trip_walking,nil
399,trip_minibus,nil
399,trip_bike,nil
399,trip_walking,nil
400,trip_minibus,nil
400,trip_bike,nil
400,trip_walking,nil
401,trip_minibus,nil
401,trip_bike,nil
401,trip_walking,nil
402,trip_minibus,nil
402,trip_bike,nil
402,trip_walking,nil
403,trip_minibus,nil
403,trip_bike,nil
403,trip_walking,nil
404,trip_minibus,nil
404,trip_bike,nil
404,trip_walking,nil
405,trip_minibus,nil
405,trip_bike,nil
405,trip_walking,nil
406,trip_minibus,nil
406,trip_bike,nil
406,trip_walking,nil
407,trip_minibus,nil
407,trip_bike,nil
407,trip_walking,nil
408,trip_minibus,nil
408,trip_bike,nil
408,trip_walking,nil
409,trip_minibus,nil
