cycle,o,tick_consumption_Uo
51,modular house extension,nil
51,wooden house,0.2
51,plastic factory,0.2
51,company,0.2
51,leisure,0.2
51,school,0.2
52,modular house,0.2
52,modular house extension,nil
52,wooden house,0.2
52,plastic factory,0.2
52,company,0.2
52,leisure,0.2
52,school,0.2
53,modular house,0.2
53,modular house extension,nil
53,wooden house,0.2
53,plastic factory,0.2
53,company,0.2
53,leisure,0.2
53,school,0.2
54,modular house,0.2
54,modular house extension,nil
54,wooden house,0.2
54,plastic factory,0.2
54,company,0.2
54,leisure,0.2
54,school,0.2
55,modular house,0.2
55,modular house extension,nil
55,wooden house,0.2
55,plastic factory,0.2
55,company,0.2
55,leisure,0.2
55,school,0.2
56,modular house,0.2
56,modular house extension,nil
56,wooden house,0.2
56,plastic factory,0.2
56,company,0.2
56,leisure,0.2
56,school,0.2
57,modular house,0.2
57,modular house extension,nil
57,wooden house,0.2
57,plastic factory,0.2
57,company,0.2
57,leisure,0.2
57,school,0.2
58,modular house,0.2
58,modular house extension,nil
58,wooden house,0.2
58,plastic factory,0.2
58,company,0.2
58,leisure,0.2
58,school,0.2
59,modular house,0.2
59,modular house extension,nil
59,wooden house,0.2
59,plastic factory,0.2
59,company,0.2
59,leisure,0.2
59,school,0.2
60,modular house,0.2
60,modular house extension,nil
60,wooden house,0.2
60,plastic factory,0.2
60,company,0.2
60,leisure,0.2
60,school,0.2
61,modular house,0.2
61,modular house extension,nil
61,wooden house,0.2
61,plastic factory,0.2
61,company,0.2
61,leisure,0.2
61,school,0.2
62,modular house,0.2
62,modular house extension,nil
62,wooden house,0.2
62,plastic factory,0.2
62,company,0.2
62,leisure,0.2
62,school,0.2
63,modular house,0.2
63,modular house extension,nil
63,wooden house,0.2
63,plastic factory,0.2
63,company,0.2
63,leisure,0.2
63,school,0.2
64,modular house,0.2
64,modular house extension,nil
64,wooden house,0.2
64,plastic factory,0.2
64,company,0.2
64,leisure,0.2
64,school,0.2
65,modular house,0.2
65,modular house extension,nil
65,wooden house,0.2
65,plastic factory,0.2
65,company,0.2
65,leisure,0.2
65,school,0.2
66,modular house,0.2
