cycle,i,tick_resources_used_Ui
16,kg_cotton,0.0
16,m² land,0.0
16,kWh energy,0.0
17,m3_wood,0.0
17,kg_cotton,0.0
17,m² land,0.0
17,kWh energy,0.0
18,m3_wood,0.0
18,kg_cotton,0.0
18,m² land,0.0
18,kWh energy,0.0
19,m3_wood,0.0
19,kg_cotton,0.0
19,m² land,0.0
19,kWh energy,0.0
20,m3_wood,0.0
20,kg_cotton,0.0
20,m² land,0.0
20,kWh energy,0.0
0,m3_wood,nil
0,kg_cotton,nil
0,m² land,nil
0,kWh energy,nil
1,m3_wood,nil
1,kg_cotton,nil
1,m² land,nil
1,kWh energy,nil
2,m3_wood,0.0
2,kg_cotton,0.0
2,m² land,0.0
2,kWh energy,452376.81985088595
3,m3_wood,37101.297272417454
3,kg_cotton,0.0
3,m² land,14992.487113628598
3,kWh energy,440314.0223929882
4,m3_wood,71919.18718660239
4,kg_cotton,0.0
4,m² land,29104.56235995213
4,kWh energy,380708.12877633225
5,m3_wood,89070.94242114437
5,kg_cotton,0.0
5,m² land,36801.85656993747
5,kWh energy,391852.44032113446
6,m3_wood,106053.44942266242
6,kg_cotton,0.0
6,m² land,43939.956477859596
6,kWh energy,389251.2413875953
7,m3_wood,121748.22211010354
7,kg_cotton,0.0
7,m² land,51216.17909382704
7,kWh energy,414987.1923558647
8,m3_wood,145598.16887511007
8,kg_cotton,0.0
8,m² land,60306.835115635455
8,kWh energy,428271.15525866253
9,m3_wood,184147.58991993841
9,kg_cotton,0.0
9,m² land,77797.03762713591
9,kWh energy,433306.51424423896
10,m3_wood,207140.16893264465
10,kg_cotton,0.0
10,m² land,91566.58203084164
10,kWh energy,449301.62291824364
11,m3_wood,214537.61839292594
11,kg_cotton,0.0
11,m² land,95573.38204147987
11,kWh energy,461169.0543524926
12,m3_wood,217288.64815159043
12,kg_cotton,0.0
12,m² land,97815.87377902973
12,kWh energy,448151.87629176246
13,m3_wood,166555.59993317132
13,kg_cotton,0.0
13,m² land,74553.65713795274
13,kWh energy,355864.6697735351
14,m3_wood,128373.53608968314
14,kg_cotton,0.0
14,m² land,57990.96015501827
14,kWh energy,275284.07044005126
15,m3_wood,94241.02261773568
15,kg_cotton,0.0
15,m² land,42563.678753318294
15,kWh energy,232570.44226403077
16,m3_wood,78663.84719695864
16,kg_cotton,0.0
16,m² land,35997.90073954086
16,kWh energy,209569.98198724506
17,m3_wood,51877.131528517246
17,kg_cotton,0.0
17,m² land,23484.08845280614
17,kWh energy,160713.62817602046
18,m3_wood,35846.03675133104
18,kg_cotton,0.0
18,m² land,16455.359215051052
18,kWh energy,134713.16789923474
19,m3_wood,16848.0
19,kg_cotton,0.0
19,m² land,7560.0
19,kWh energy,119999.53972321432
20,m3_wood,8736.0
20,kg_cotton,0.0
20,m² land,3920.0
20,kWh energy,103785.45127040817
21,m3_wood,6756.226305703449
21,kg_cotton,0.0
21,m² land,3072.817690561228
21,kWh energy,95714.08845280613
22,m3_wood,3636.226305703449
22,kg_cotton,0.0
22,m² land,1672.817690561228
22,kWh energy,90570.90254081636
23,m3_wood,1140.2263057034488
23,kg_cotton,0.0
23,m² land,552.8176905612279
23,kWh energy,84856.81408801021
24,m3_wood,516.2263057034489
24,kg_cotton,0.0
24,m² land,272.81769056122783
24,kWh energy,78499.53972321432
25,m3_wood,0.0
25,kg_cotton,0.0
25,m² land,0.0
25,kWh energy,75285.45127040817
26,m3_wood,0.0
26,kg_cotton,0.0
26,m² land,0.0
26,kWh energy,93142.72563520409
27,m3_wood,0.0
27,kg_cotton,0.0
27,m² land,0.0
27,kWh energy,94571.36281760204
28,m3_wood,0.0
28,kg_cotton,0.0
28,m² land,0.0
28,kWh energy,110571.36281760204
29,m3_wood,0.0
29,kg_cotton,0.0
29,m² land,0.0
29,kWh energy,120356.81408801023
30,m3_wood,0.0
30,kg_cotton,0.0
30,m² land,0.0
30,kWh energy,140571.36281760206
31,m3_wood,0.0
31,kg_cotton,0.0
31,m² land,0.0
31,kWh energy,175642.72563520411
32,m3_wood,0.0
32,kg_cotton,0.0
32,m² land,0.0
32,kWh energy,233571.36281760206
33,m3_wood,0.0
33,kg_cotton,0.0
33,m² land,0.0
33,kWh energy,278071.36281760206
34,m3_wood,0.0
34,kg_cotton,0.0
34,m² land,0.0
34,kWh energy,314500.0
35,m3_wood,0.0
